Wall time,Step,Value
1601174202.2220483,1622,-145.6877899169922
1601174206.9900477,1623,-62.480648040771484
1601174222.0114071,1626,-122.91056823730469
1601174297.077697,1641,-61.78367614746094
1601174331.9483922,1648,-164.5326690673828
1601174352.123905,1652,-43.09757614135742
1601174376.5253968,1657,-109.5065689086914
1601174589.870165,1700,-145.85147094726562
1601174691.1514134,1720,-115.02317810058594
1601174806.6345382,1742,-220.4841766357422
1601174846.1050904,1750,-126.56050872802734
1601174881.1298254,1757,-143.38839721679688
1601175006.0596037,1782,-119.1075439453125
1601175020.5891902,1785,-43.921165466308594
1601175093.3572586,1799,-3644.14697265625
1601175152.873571,1811,-76.89178466796875
1601175167.2204347,1814,-120.57376861572266
1601175356.9133055,1852,-20.820507049560547
1601175428.8485434,1866,-113.44598388671875
1601175454.8292773,1871,-214.37149047851562
1601175480.5802274,1876,-207.9166259765625
1601175536.2981846,1887,-44.68082046508789
1601175599.3632295,1900,-176.2057647705078
1601175614.8155487,1903,-112.45210266113281
1601175699.1367812,1920,-194.4776153564453
1601175782.4515755,1937,-113.80229187011719
1601175811.0643883,1943,-124.8021469116211
1601175846.6416776,1950,-114.18998718261719
1601175915.639999,1964,-84.5730209350586
1601175998.3787782,1980,-149.32241821289062
1601176222.0608475,2025,-142.59205627441406
1601176547.192406,2090,-1621.252197265625
1601176649.9598966,2111,-101.75531005859375
1601176972.8677118,2176,-198.54464721679688
1601177059.7453701,2193,-62.4832763671875
1601177069.3523657,2195,-198.869873046875
1601177453.519713,2272,-70.47482299804688
1601177458.3012865,2273,-98.68373107910156
1601177548.1715798,2291,-102.88220977783203
1601177649.4335513,2312,-124.67656707763672
1601177664.285833,2315,-93.9349365234375
1601177708.8958058,2324,-138.12498474121094
1601178087.0064678,2399,-212.5169677734375
1601178176.210656,2417,-160.8133544921875
1601178424.705492,2467,-27.208871841430664
1601178429.4598818,2468,-118.37075805664062
1601178624.7526922,2507,-199.14112854003906
1601178653.9891858,2513,-209.50611877441406
1601178713.1307697,2525,-57.599483489990234
1601178793.0469742,2541,-241.38705444335938
1601178812.20236,2545,-123.78202819824219
1601178827.411893,2548,-171.49896240234375
1601178987.1451535,2580,-231.12026977539062
1601179031.044505,2589,-144.99725341796875
1601179041.1941576,2591,-202.98780822753906
1601179056.6183314,2594,-145.51937866210938
1601179081.1726232,2599,-98.99411010742188
1601179177.0968919,2618,-196.2960968017578
1601179339.5181723,2650,-119.15809631347656
1601179405.7878103,2663,-199.9785919189453
1601179415.3260171,2665,-37.524559020996094
1601179454.5675662,2673,-167.74435424804688
1601179535.154073,2689,-183.95606994628906
1601179657.5724955,2713,-64.08515167236328
1601179667.313479,2715,-87.65055847167969
1601179743.2403965,2730,-99.2049560546875
1601179787.6435807,2739,-239.76583862304688
1601179988.3881297,2779,-36.145774841308594
1601180069.9505243,2795,-110.33702850341797
1601180156.9367194,2812,-241.2390899658203
1601180186.7627466,2818,-240.74407958984375
1601180286.6759546,2838,-174.96780395507812
1601180371.0191562,2855,-122.7081069946289
1601180419.7374961,2865,-181.7884521484375
1601180474.0696938,2876,-178.61985778808594
1601180553.1352215,2892,-169.70875549316406
1601180695.9886284,2921,-106.05707550048828
1601180902.5717652,2963,-55.26720428466797
1601180948.2986126,2972,-134.88270568847656
1601180968.1951077,2976,-88.0115966796875
1601181097.2337408,3002,-76.78443908691406
1601181153.355832,3013,-105.111083984375
1601181250.4644852,3032,-232.7994384765625
1601181351.9881961,3052,-141.8138427734375
1601181406.1357043,3063,-113.85652160644531
1601181460.3709414,3074,-183.08465576171875
1601181475.2986057,3077,-74.50314331054688
1601181583.9744983,3099,-118.61974334716797
1601181593.7830002,3101,-142.997314453125
1601181755.9958243,3133,-102.80856323242188
1601181948.18713,3172,-104.53661346435547
1601182118.9797964,3206,-103.6984634399414
1601182123.9217753,3207,-143.5062255859375
1601182427.218799,3267,-185.88543701171875
1601182462.8577082,3274,-114.67810821533203
1601182473.0266898,3276,-90.0046157836914
1601182589.1212716,3299,-130.9254913330078
1601182594.4964004,3300,-170.68295288085938
1601182614.9369092,3304,-185.4729766845703
1601182640.351586,3309,-162.9912109375
1601182685.2347534,3318,-84.78372192382812
1601182690.0974746,3319,-79.94001770019531
1601182695.4367006,3320,-171.3920135498047
1601182752.029033,3331,-99.31674194335938
1601182922.0003886,3364,-220.15280151367188
1601182975.5125117,3375,-162.3645782470703
1601182999.712712,3380,-55.49582290649414
1601183099.2538145,3399,-83.57426452636719
1601183164.2577143,3412,-165.0867919921875
1601183243.4511926,3428,-119.08887481689453
1601183263.426154,3432,-51.19862747192383
1601183349.1904275,3449,-98.79188537597656
1601183399.4895797,3459,-115.97846221923828
1601183464.4733343,3472,-87.51448822021484
1601183564.178475,3492,-87.23027801513672
1601183569.3699732,3493,-85.21527862548828
1601183928.4755533,3565,-189.3243865966797
1601183958.7634242,3571,-123.23931121826172
1601184161.1698775,3611,-186.7083282470703
1601184200.923248,3619,-171.81765747070312
1601184246.5044892,3628,-171.6468048095703
1601184282.595203,3635,-170.0845947265625
1601184328.2897363,3644,-184.87307739257812
1601184420.0299637,3662,-34.748756408691406
1601184429.833754,3664,-67.07203674316406
1601184449.3604984,3668,-198.9111328125
1601184558.23605,3689,-122.19550323486328
1601184810.3971686,3739,-79.02104949951172
1601184830.3597956,3743,-45.38242721557617
1601184835.279338,3744,-211.32093811035156
1601184855.4002688,3748,-74.57098388671875
1601184875.6250863,3752,-132.07423400878906
1601184885.738576,3754,-186.09320068359375
1601184955.915492,3768,-133.78936767578125
1601184961.141282,3769,-141.28567504882812
1601185076.443143,3792,-174.72750854492188
1601185081.7814958,3793,-180.6619110107422
1601185138.2197278,3804,-313.12274169921875
1601185148.4439893,3806,-119.39506530761719
1601185198.6756227,3816,-136.3411102294922
1601185358.1746838,3847,-44.149742126464844
1601185399.7161853,3855,-1738.92919921875
1601185435.1839266,3862,-125.83963775634766
1601185462.147149,3867,-196.13946533203125
1601185496.731395,3874,-109.21007537841797
1601185598.5287373,3894,-138.2854461669922
1601185624.4026084,3899,-185.82110595703125
1601185924.8501916,3958,-153.03997802734375
1601185984.819854,3970,-206.03578186035156
1601186036.448441,3980,-97.23247528076172
1601186129.9657958,3999,-41.72090148925781
1601186237.4448504,4020,-213.85829162597656
1601186433.8479257,4059,-170.37892150878906
1601186443.7084398,4061,-191.27932739257812
1601186694.4845436,4110,-202.05799865722656
1601186755.7106807,4122,-94.19293975830078
1601186832.512231,4137,-164.17111206054688
