Wall time,Step,Value
1601332125.2572932,21,-25.54119873046875
1601332131.6280017,24,-12.72436809539795
1601332197.1133754,56,-25.332059860229492
1601332203.3178606,59,-23.84126091003418
1601332251.051591,82,-20.678749084472656
1601332253.160238,83,-37.506595611572266
1601332375.8100889,142,-19.834993362426758
1601332437.83655,170,-6.441707611083984
1601332447.1189075,174,-9.84526538848877
1601332540.4610744,215,-4.777399063110352
1601332589.2656705,237,-5.606975555419922
1601332651.0028112,264,-4.216556549072266
1601332824.9222744,341,-9.864079475402832
1601332881.2334366,366,-14.42549991607666
1601332964.6455402,402,-4.704610824584961
1601333084.914061,455,-19.547256469726562
1601333221.834368,513,-7.897944927215576
1601333304.975735,550,-6.603464126586914
1601333310.067859,552,-17.18240737915039
1601333336.658967,563,-2.65041446685791
1601333395.410811,588,-13.778970718383789
1601333493.2015016,628,-9.674808502197266
1601333569.5490837,660,1.3758535385131836
1601333577.1900947,663,-5.989616870880127
1601333588.6931267,668,-10.727438926696777
1601333768.74422,742,-7.849759101867676
1601333776.1944492,745,-6.698639392852783
1601333953.9206617,815,-7.121859073638916
1601334020.0130804,841,-15.495363235473633
1601334041.823325,849,-1.2882024049758911
1601334114.8164742,876,-14.662487030029297
1601334132.1419668,883,-9.692949295043945
1601334140.0972583,886,-1.6335200071334839
1601334179.2681625,901,-0.2706507742404938
1601334187.3873138,904,-3.90189528465271
1601334258.0283718,930,-12.550530433654785
1601334469.8723645,1008,-8.949870109558105
1601334560.5147896,1041,-5.021669387817383
1601334693.5093234,1090,-10.864632606506348
1601334811.306653,1133,-8.3449068069458
1601335019.926205,1210,-0.10458730161190033
1601335032.4762115,1215,-8.73333740234375
1601335080.679054,1233,-7.758815765380859
1601335119.0908177,1247,-2.6101183891296387
1601335159.000397,1262,-16.028230667114258
1601335206.093535,1279,3.165081024169922
1601335281.7241683,1307,-7.247710227966309
1601335468.8654876,1376,2.2830631732940674
1601335582.3366072,1417,-2.495712995529175
1601335596.849331,1422,3.6669819355010986
1601336061.240284,1597,-12.871912002563477
1601336118.1686225,1619,3.123823642730713
1601336174.970763,1641,-10.332737922668457
1601336218.5652297,1657,-8.961714744567871
1601336331.5715346,1700,-7.416807174682617
1601336385.1282794,1720,-12.96065902709961
1601336444.5237522,1742,-3.2560372352600098
1601336552.0348568,1782,-18.536874771118164
1601336559.983457,1785,-9.182062149047852
1601336598.9531188,1799,-12.633256912231445
1601336631.1817234,1811,-15.961498260498047
1601336639.2812154,1814,-8.561293601989746
1601336780.6956794,1866,-15.184287071228027
1601336807.7975912,1876,-7.772636890411377
1601336836.8797266,1887,-3.711219072341919
1601336972.7728488,1937,-39.484432220458984
1601336990.1341882,1943,-14.646123886108398
1601337088.5070064,1980,-12.436722755432129
1601337210.014643,2025,-10.621105194091797
1601337442.2380235,2111,-11.392170906066895
1601337936.791453,2291,-2.7279744148254395
1601337994.3810403,2312,-10.073148727416992
1601338228.687148,2399,-11.295819282531738
1601338276.1436038,2417,-8.976336479187012
1601338413.129188,2467,-11.12494945526123
1601338522.9500318,2507,-7.001794815063477
1601338571.8197684,2525,-7.531928539276123
1601338625.1249018,2545,-6.347021102905273
1601338745.445486,2589,-10.984891891479492
1601338751.8393598,2591,8.065081596374512
1601338759.4825413,2594,-8.821436882019043
1601338826.6697772,2618,-9.386378288269043
1601338916.2854087,2650,-6.196127414703369
1601339023.0323994,2689,-8.708133697509766
1601339158.3629105,2739,-7.105753421783447
1601339307.9204628,2795,-9.222209930419922
1601339424.6299767,2838,-12.816669464111328
1601339495.6072884,2865,-19.527563095092773
1601339526.2781537,2876,-5.257563591003418
1601339644.273844,2921,-9.227952003479004
1601339780.3486223,2972,-14.331494331359863
1601339940.8554347,3032,-10.744046211242676
1601339994.1932666,3052,3.1619977951049805
1601340125.967247,3101,-16.05748748779297
1601340212.488359,3133,-30.439374923706055
1601340314.7986941,3172,-2.61803936958313
1601340595.64514,3274,-12.190421104431152
1601340601.5293653,3276,-13.03065013885498
1601340668.0668314,3300,-1.5045675039291382
1601340679.3115306,3304,-5.744819164276123
1601340717.6159306,3318,0.384101003408432
1601340720.1490412,3319,-7.223981857299805
1601340755.0773685,3331,-7.496847629547119
1601340844.673951,3364,-10.423898696899414
1601341031.101742,3432,-9.809401512145996
1601341197.3179271,3492,-4.87786340713501
1601341416.5750737,3571,-5.970911979675293
1601341523.0791283,3611,-5.781278133392334
1601341544.9779654,3619,-9.282912254333496
1601341667.6610475,3664,-12.24330997467041
1601341868.3922389,3739,-10.004608154296875
1601341879.0694046,3743,-5.233654975891113
1601341881.601696,3744,-5.042908668518066
1601341901.9501703,3752,-10.581995010375977
1601341944.6825414,3768,-7.407536029815674
1601341947.195218,3769,-5.66349458694458
1601342154.6501014,3847,-12.902246475219727
1601342176.2948895,3855,-13.789738655090332
1601342196.1155958,3862,-14.74240493774414
1601342210.487946,3867,1.3743245601654053
1601342490.957854,3970,-9.079797744750977
1601342571.4218557,3999,-6.101925849914551
1601342628.441836,4020,-4.60508918762207
1601342873.0810645,4110,-13.415159225463867
1601343013.5160375,4162,-9.887371063232422
1601343132.712572,4205,-10.414127349853516
1601343151.6978478,4212,-12.250659942626953
1601343242.604937,4245,-15.874771118164062
1601343325.0943644,4275,-9.551884651184082
1601343748.3661916,4430,7.592851161956787
1601343790.8787355,4446,-12.593120574951172
1601343857.9527574,4469,-11.401185989379883
1601344001.6215732,4522,-5.004530906677246
1601344127.8921652,4568,-2.495542526245117
1601344283.76761,4625,-16.391586303710938
1601344326.077337,4640,-4.537479877471924
1601344398.659369,4667,-15.689477920532227
1601344460.4403832,4690,-11.526204109191895
1601344502.6839483,4705,-14.5138521194458
1601344590.6803346,4736,-12.254129409790039
1601344678.6639261,4767,-11.820840835571289
1601344721.861661,4783,-10.214397430419922
1601344966.1186292,4873,-14.094841957092285
1601344998.5724795,4884,-9.507137298583984
1601345157.825718,4942,-8.496943473815918
1601345354.3131778,5014,-1.6128134727478027
1601345400.2882466,5030,-15.781675338745117
1601345465.2373075,5053,-16.043004989624023
1601345470.796368,5055,-10.97598648071289
1601345475.8696995,5057,-7.642319679260254
1601345498.575945,5066,-10.85749626159668
1601345586.6372335,5098,-3.757467269897461
1601345624.255559,5112,-6.1835761070251465
1601345643.6541202,5119,-10.752771377563477
1601345717.4219947,5146,-6.942729473114014
1601345728.6783197,5150,-15.093169212341309
1601345765.220194,5163,-7.6671929359436035
1601345866.0651066,5201,-5.29788875579834
1601345965.8453557,5237,-11.796257972717285
1601346266.9516556,5346,-2.802044630050659
1601346383.5436823,5388,-10.961408615112305
1601346386.6244676,5389,0.6426843404769897
1601346481.9088564,5424,-1.9576131105422974
1601346566.6866846,5455,-12.698351860046387
1601346642.698448,5483,-10.146039962768555
1601346677.2516868,5495,-5.104712009429932
1601346695.8878863,5502,-6.06925106048584
1601346732.703967,5516,-5.241222858428955
1601346751.5057147,5523,-12.828110694885254
1601346818.072736,5547,-4.880532741546631
1601346855.7824295,5561,-9.41459846496582
1601346886.4482884,5573,-10.418822288513184
1601346948.6438634,5596,-2.9631898403167725
1601346961.5778046,5601,-12.770535469055176
1601347076.4386523,5643,-4.691006660461426
1601347178.6064112,5680,-10.053954124450684
1601347195.2936387,5686,-3.679161310195923
1601347430.3795476,5773,-11.185667037963867
1601347449.268144,5780,-10.059123039245605
1601347606.3851173,5836,-3.1208369731903076
1601347747.3698008,5887,-6.386535167694092
1601347884.2605383,5937,-16.218830108642578
1601348303.755811,6089,-7.9927496910095215
1601348320.4162316,6095,-1.4228533506393433
1601348371.8357909,6113,-6.9932427406311035
1601348393.8884056,6121,-6.24230432510376
1601348572.7592273,6186,-5.2715349197387695
1601348588.9447818,6192,-12.741658210754395
1601348597.1096575,6195,-1.8275582790374756
1601348625.8727245,6205,-14.468719482421875
1601348636.8247204,6209,-6.885323524475098
1601348642.0562859,6211,-3.8906309604644775
1601348656.022165,6216,-9.499351501464844
1601348958.9031525,6324,1.6002275943756104
1601348979.9163296,6332,-13.182892799377441
1601348982.534399,6333,-0.5559984445571899
1601349027.764975,6349,-2.7930707931518555
1601349528.7088127,6527,2.1895289421081543
1601349814.8181064,6630,-11.288328170776367
1601350062.927173,6719,-11.568520545959473
1601350197.554799,6768,-5.925899982452393
1601350500.3374858,6875,-1.8557660579681396
1601350727.5653834,6957,-98.97671508789062
1601350738.5893188,6961,-3.060079336166382
1601350761.0004172,6969,-6.548272609710693
1601350870.3054206,7009,-8.677468299865723
1601350875.8701358,7011,-11.486910820007324
1601350894.9806402,7018,-14.737792015075684
1601350905.7060611,7022,-6.51399040222168
1601351032.7438703,7068,-1.385398030281067
1601351071.2073033,7081,-8.006011962890625
1601351079.6091053,7084,-5.588772773742676
1601351126.4021502,7101,-1.974648118019104
1601351131.989457,7103,-1.6416304111480713
1601351182.1999981,7122,-12.843013763427734
1601351348.7465966,7183,-8.461690902709961
1601351380.0038633,7194,-11.330838203430176
1601351463.0559146,7225,-10.210060119628906
1601351474.5319495,7229,-3.4290688037872314
1601351482.2687607,7232,-5.605748176574707
1601351773.7796338,7337,-7.751690864562988
1601351808.2020428,7349,-10.734384536743164
1601351863.5714633,7370,-12.055276870727539
1601351871.2213068,7373,-7.775181293487549
1601351889.9169848,7380,-8.056172370910645
1601351986.390547,7415,-5.1470866203308105
1601352349.4497201,7545,-12.907567024230957
1601352430.1042447,7575,-14.06575870513916
1601352479.7381206,7593,-4.631072044372559
1601352574.268258,7627,-7.287548065185547
