Wall time,Step,Value
1600995719.3081698,5,53.64335250854492
1600995838.4897642,18,46.59014892578125
1600995899.3797922,24,324.287841796875
1600996048.665414,40,72.41739654541016
1600996069.5701041,42,190.39024353027344
1600996099.0574586,45,184.45799255371094
1600996115.351254,47,134.0720977783203
1600996170.6736321,53,71.28895568847656
1600996193.8413558,56,95.7281265258789
1600996349.0546324,71,146.9873809814453
1600996381.4140108,74,243.64849853515625
1600996432.9157906,79,254.8523712158203
1600996520.2624285,87,283.8287353515625
1600996595.9789739,94,274.43133544921875
1600996681.682194,102,228.1956024169922
1600996716.309394,105,262.35430908203125
1600996727.8811603,106,233.70974731445312
1600996808.275026,113,316.2674255371094
1600996939.3414145,126,294.3246765136719
1600997083.2098868,139,319.0102844238281
1600997200.9000523,150,242.80368041992188
1600997246.7988408,155,60.79466247558594
1600997279.5355582,158,320.1885070800781
1600997373.9934435,167,98.44613647460938
1600997385.74964,168,341.12518310546875
1600997497.7486477,178,308.54510498046875
1600997554.9803286,183,299.7015380859375
1600997578.7534704,185,252.844482421875
1600997591.003072,186,290.9765625
1600997631.835885,190,304.0839538574219
1600997725.177685,198,293.0693054199219
1600997818.128973,206,293.0304260253906
1600997826.7402987,207,194.60650634765625
1600997889.5881348,212,300.60382080078125
1600998007.474518,223,257.04656982421875
1600998079.056379,229,316.9172668457031
1600998136.353686,234,266.8165588378906
1600998174.2471824,237,267.6590881347656
1600998320.876779,249,322.3818664550781
1600998397.350987,255,320.4435119628906
1600998458.1218512,260,159.630126953125
1600998528.8099837,267,40.03031921386719
1600998576.2104998,271,215.16607666015625
1600998601.9459615,273,308.788818359375
1600998838.1091812,292,350.7841796875
1600998902.9548438,297,296.9359436035156
1600998915.8898468,298,337.61053466796875
1600998980.9507496,303,292.8288879394531
1600999042.995793,308,214.22970581054688
1600999069.0357096,310,305.95703125
1600999164.0655675,318,324.3287048339844
1600999177.253265,319,274.34326171875
1600999255.9989576,326,83.08686065673828
1600999308.3161776,330,290.122802734375
1600999410.7521598,339,105.40594482421875
1600999509.9175725,347,380.5013122558594
1600999723.581246,363,318.0744934082031
