Wall time,Step,Value
1600908428.193762,8,78.92398071289062
1600908476.2348368,17,70.9570083618164
1600908496.25086,21,75.27568054199219
1600908511.3440092,24,56.10338592529297
1600908536.9215944,29,78.68949890136719
1600908583.1617126,38,37.14107131958008
1600908675.1432445,56,40.79848098754883
1600908680.1637583,57,55.56731033325195
1600908690.4959195,59,87.60594940185547
1600908747.08505,70,69.68080139160156
1600908808.895877,82,76.35763549804688
1600908814.0888374,83,69.23500061035156
1600908855.164551,90,22.396448135375977
1600908861.5620313,91,59.660858154296875
1600908937.564085,105,75.69953918457031
1600908948.317246,107,41.588287353515625
1600909050.3817155,126,100.5457534790039
1600909080.9599175,132,68.30767822265625
1600909137.015562,142,45.11308288574219
1600909280.30184,170,84.12516784667969
1600909300.8029873,174,82.81761932373047
1600909305.9542549,175,67.63246154785156
1600909372.8179405,188,59.59672927856445
1600909403.5617597,194,45.61890411376953
1600909511.6876698,215,61.829715728759766
1600909537.2900643,220,47.559627532958984
1600909583.6020133,229,56.89993667602539
1600909619.6939507,236,63.25651168823242
1600909624.8816466,237,61.218467712402344
1600909676.618367,247,65.41789245605469
1600909764.7387443,264,35.20686340332031
1600909822.0914352,275,66.8777847290039
1600909911.4427245,292,49.53138732910156
1600909943.0740047,297,34.82652282714844
1600909964.1483757,300,73.49736022949219
1600909974.6874125,302,51.30648422241211
1600910045.1327286,314,78.36651611328125
1600910121.8791757,328,86.21454620361328
1600910138.0229528,331,78.08918762207031
1600910192.284487,341,69.26646423339844
1600910236.2236655,348,57.02056884765625
1600910286.3135006,357,71.23863220214844
1600910303.0592113,360,49.07737731933594
1600910336.6681442,366,56.68742370605469
1600910342.24482,367,53.71797561645508
1600910347.9310029,368,34.0859260559082
1600910364.9849563,371,25.015886306762695
1600910387.7117708,375,40.621578216552734
1600910444.4565244,385,65.87389373779297
1600910512.8124733,397,81.45512390136719
1600910541.3620467,402,59.43305587768555
1600910581.348421,409,55.90361022949219
1600910592.858104,411,64.177001953125
1600910679.3122346,425,76.29136657714844
1600910713.8448749,431,63.5042610168457
1600910731.0899527,434,58.644248962402344
1600910754.2173662,438,39.58051300048828
1600910800.3290973,446,49.66156768798828
1600910852.267001,455,53.41415786743164
1600911147.1327188,506,68.9590835571289
1600911187.866551,513,55.23242950439453
1600911193.6651106,514,49.39041519165039
1600911210.986255,517,74.75433349609375
1600911245.9134912,523,56.173301696777344
1600911251.655938,524,51.252464294433594
1600911338.506546,539,90.05276489257812
1600911402.162409,550,76.61516571044922
1600911413.824265,551,229.74871826171875
1600911419.6398795,552,43.775474548339844
1600911425.3398473,553,57.26755905151367
1600911483.412064,563,84.6091537475586
1600911529.9936733,571,44.1204948425293
1600911541.6310198,573,59.571475982666016
1600911564.8788552,577,61.73474884033203
1600911582.3301723,580,74.2280044555664
1600911617.2468655,586,61.73618698120117
1600911628.9123228,588,47.11009216308594
1600911652.1750474,592,74.35318756103516
1600911710.5968587,602,61.922935485839844
1600911786.6805577,614,45.828426361083984
1600911869.3313653,628,62.505306243896484
1600911922.3318415,637,50.06438446044922
1600911993.0222042,649,58.7355842590332
1600912046.3078768,657,73.24148559570312
1600912058.1594512,659,81.24906921386719
1600912064.1618328,660,46.68608856201172
1600912081.99756,663,60.10845184326172
1600912117.6888351,668,263.6268005371094
1600912135.6231465,671,93.9609375
1600912183.151995,679,47.43719482421875
1600912242.6391506,689,77.77120208740234
1600912254.4985857,691,77.36226654052734
1600912284.123144,696,91.23628234863281
1600912308.000404,700,59.58171463012695
1600912349.9126422,707,36.3670654296875
1600912565.648714,742,87.0719985961914
1600912583.698903,745,73.56206512451172
1600912625.5970247,751,314.4804382324219
1600912667.6900022,758,51.174461364746094
1600912679.9896731,760,64.06621551513672
1600912694.5330436,762,49.869319915771484
1600912876.9120061,789,80.47908020019531
1600912882.9320672,790,46.434696197509766
1600912901.0969877,793,43.894752502441406
1600912937.0917428,798,51.02217483520508
1600912943.1838894,799,41.15203857421875
1600913003.8002784,809,52.98560333251953
1600913040.0881684,814,85.74781799316406
1600913046.1728535,815,72.02371215820312
1600913070.552902,819,78.49798583984375
1600913082.6177802,821,69.05781555175781
1600913112.4815779,826,67.24394226074219
1600913124.3620958,828,44.629615783691406
1600913142.4951,831,40.962711334228516
1600913202.8151882,841,73.27254486083984
1600913250.861071,849,59.35361862182617
1600913256.8173184,850,46.842342376708984
1600913286.7857447,855,62.882083892822266
1600913317.5070567,860,64.70196533203125
1600913353.831658,866,79.58697509765625
1600913359.8756769,867,61.32849884033203
1600913420.6340685,876,30.086544036865234
1600913463.2453792,883,46.52845001220703
1600913481.5310328,886,56.773284912109375
1600913493.5050614,888,62.412471771240234
1600913572.1864033,901,65.91488647460938
1600913590.5807028,904,74.01229095458984
1600913645.5651298,913,58.34428787231445
1600913748.428656,930,57.26474380493164
1600913772.4934642,934,58.444114685058594
1600913814.489442,940,56.269954681396484
1600914029.802573,974,59.43711853027344
1600914048.12398,977,60.44173812866211
1600914164.2946124,995,50.926673889160156
1600914243.0017579,1006,69.57586669921875
1600914255.0431886,1008,78.38410186767578
1600914273.520728,1011,77.90741729736328
1600914472.0754013,1041,48.63291549682617
1600914484.511163,1043,69.53436279296875
1600914564.0522223,1055,86.91595458984375
1600914588.3655705,1058,49.16190719604492
1600914624.893253,1064,59.13231658935547
1600914630.8884695,1065,43.756595611572266
1600914667.20618,1071,81.62993621826172
1600914691.5083933,1075,69.76791381835938
1600914786.2954078,1090,72.25208282470703
1600915056.900484,1131,74.4609603881836
1600915069.2020197,1133,74.3682632446289
1600915196.949732,1151,53.317264556884766
1600915203.2046747,1152,50.28804016113281
1600915227.2609286,1154,192.45643615722656
1600915239.7530334,1156,58.53403854370117
1600915301.2594419,1164,45.79133605957031
1600915332.1856513,1169,62.78485870361328
1600915369.0291867,1175,66.82550048828125
1600915431.082321,1184,267.6359558105469
1600915492.511741,1194,50.2965087890625
1600915541.5896184,1201,60.18194580078125
1600915602.8301942,1210,297.974609375
1600915646.297545,1215,271.7959289550781
1600915683.0667617,1221,79.48949432373047
1600915781.5227635,1233,67.00344848632812
1600915824.8563387,1239,71.87177276611328
1600915837.2365544,1241,64.55530548095703
1600915849.4937372,1243,60.25087356567383
1600915880.1039853,1247,282.71173095703125
1600915897.3031209,1249,211.76873779296875
1600915903.379213,1250,55.623199462890625
1600915946.9843132,1255,59.39926528930664
1600915990.6651332,1262,55.03010559082031
1600916021.7684956,1266,74.68043518066406
1600916101.7425702,1276,56.00941467285156
1600916126.362476,1279,58.242706298828125
1600916199.6261563,1287,313.9632568359375
1600916336.9728842,1302,285.7181396484375
1600916367.8769531,1307,67.99752044677734
1600916380.1641076,1309,51.094600677490234
1600916405.2777283,1313,56.48851776123047
1600916411.5176466,1314,58.62895965576172
1600916530.0614443,1327,59.176300048828125
1600916567.560058,1331,68.09425354003906
1600916724.6805313,1353,61.39504623413086
1600916906.5556664,1376,67.63192749023438
1600917140.2643745,1402,177.54000854492188
1600917232.9159672,1412,68.22175598144531
1600917239.2341583,1413,50.318206787109375
1600917251.8694177,1414,315.5374450683594
1600917277.145757,1417,56.656375885009766
1600917302.4956892,1419,270.62750244140625
1600917333.839367,1422,288.29241943359375
1600917340.1330078,1423,62.4196891784668
1600917365.4787607,1425,333.4017639160156
1600917541.4375618,1446,52.83890151977539
